epoch,train_acc,train_loss,val_acc,val_loss
1,0.29777841070919964,1.9171144125944932,0.4229390681003584,1.5628202833094686
2,0.44218171461122185,1.5105726737910903,0.4540023894862604,1.3271372635971825
3,0.5195101110794645,1.3329144348316149,0.5782556750298686,1.206741621752955
4,0.5609512959270863,1.2279493105438684,0.5412186379928315,1.2819959054578025
5,0.6107946454001709,1.1266759958517036,0.6547192353643967,1.0010157941647295
6,0.6230418684135574,1.0871427991938754,0.5663082437275986,1.2172541727997221
7,0.6375676445457135,1.0496790341201296,0.43966547192353644,1.430474533717025
8,0.6576473939048704,0.9870698666518262,0.6463560334528077,1.0052656609354154
9,0.6767302762745656,0.9466889963606224,0.6642771804062126,1.000364529917825
10,0.6727428083167188,0.9370947224947206,0.4850657108721625,1.6954073296543561
11,0.6911136428367987,0.8933828726309035,0.41935483870967744,1.782474160756705
12,0.7110509826260325,0.8693971477092535,0.5029868578255675,1.6206589761488843
